City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Sumbe,AO,-11.2061,13.8437,74.57,89,88,2.86,overcast clouds
233,Igboho,NG,8.8333,3.75,73.81,86,86,6.35,overcast clouds
234,Cabo San Lucas,MX,22.8909,-109.9124,82.62,55,100,10.04,overcast clouds
235,San Policarpo,PH,12.1791,125.5072,84.22,73,98,10.42,moderate rain
236,Nieuw Amsterdam,SR,5.8833,-55.0833,78.03,94,100,8.86,overcast clouds
237,Baykit,RU,61.67,96.37,64.76,51,99,1.36,overcast clouds
238,Port Elizabeth,ZA,-33.918,25.5701,52.32,93,3,1.01,clear sky
239,Te Anau,NZ,-45.4167,167.7167,57.09,68,11,1.43,few clouds
240,Chapais,CA,49.7834,-74.8492,62.04,86,100,9.08,overcast clouds
241,Bowen,AU,-20.0167,148.2333,77.02,72,11,3.13,few clouds
242,Alenquer,BR,-1.9417,-54.7383,74.98,97,100,3.69,light rain
243,Vila Velha,BR,-20.3297,-40.2925,72.9,78,100,2.86,overcast clouds
244,Port Hedland,AU,-20.3167,118.5667,80.65,32,100,14.97,overcast clouds
245,Sioux Lookout,CA,50.1001,-91.917,46.11,76,54,9.53,broken clouds
246,Thompson,CA,55.7435,-97.8558,42.96,93,100,3.44,mist
247,Lahaina,US,20.8783,-156.6825,76.8,84,42,10.74,scattered clouds
248,Hambantota,LK,6.1241,81.1185,80.94,94,20,6.91,few clouds
249,Dubbo,AU,-32.25,148.6167,69.93,88,40,6.91,scattered clouds
250,Segezha,RU,63.7415,34.3222,38.44,94,91,6.89,overcast clouds
251,Kirkwall,GB,58.9848,-2.9587,46.45,93,20,5.75,few clouds
252,Plouzane,FR,48.3833,-4.6167,55.45,97,0,4.61,clear sky
253,Baherden,TM,38.4362,57.4316,69.44,35,2,12.1,clear sky
254,Yining,CN,29.0361,114.5636,61.99,80,100,2.44,overcast clouds
255,Karratha,AU,-20.7377,116.8463,80.91,36,0,20.36,clear sky
256,Tiksi,RU,71.6872,128.8694,19.24,88,17,7.61,few clouds
257,Kavieng,PG,-2.5744,150.7967,84.96,63,44,5.1,scattered clouds
258,Thunder Bay,CA,48.4001,-89.3168,66.11,37,20,13.8,few clouds
259,Zyryanka,RU,65.75,150.85,30.15,80,98,6.89,overcast clouds
260,Bredasdorp,ZA,-34.5322,20.0403,51.21,89,0,2.89,clear sky
261,Alamos,MX,27.0167,-108.9333,81.97,14,97,0.27,overcast clouds
262,Vikulovo,RU,56.8167,70.6107,57.27,55,79,9.95,broken clouds
263,Mopipi,BW,-21.1833,24.8833,62.04,35,2,7.45,clear sky
264,Tucurui,BR,-3.7661,-49.6725,73.89,98,99,3.29,overcast clouds
265,Kampene,CD,-3.6,26.6667,67.19,97,73,1.66,broken clouds
266,Galle,LK,6.0367,80.217,81.34,81,100,15.46,overcast clouds
267,Onega,RU,63.9061,38.1404,39.99,93,100,6.6,overcast clouds
268,Yulara,AU,-25.2406,130.9889,74.39,45,3,8.19,clear sky
269,Komsomolskiy,UZ,40.4272,71.7189,62.44,67,100,5.77,light rain
270,Severo-Kurilsk,RU,50.6789,156.125,37.71,94,100,26.46,moderate rain
271,Buraydah,SA,26.326,43.975,73.54,14,0,8.68,clear sky
272,Priargunsk,RU,50.3691,119.1012,55.72,26,79,11.43,broken clouds
273,Kurchum,KZ,48.5722,83.6542,68.18,35,100,6.06,moderate rain
274,Gorom-Gorom,BF,14.4439,-0.2361,84.45,10,25,7.23,scattered clouds
275,Alekseyevsk,RU,57.8406,108.3492,67.6,34,9,2.84,clear sky
276,Hamilton,US,39.1834,-84.5333,65.59,94,98,1.01,overcast clouds
277,Flinders,AU,-34.5833,150.8552,72.18,87,96,5.99,light rain
278,Groningen,NL,53.25,6.75,48.15,92,5,3.44,clear sky
279,Hwange,ZW,-18.3693,26.5019,61.81,42,0,4.68,clear sky
280,Vysokogornyy,RU,50.1167,139.15,37.2,91,100,19.98,overcast clouds
281,Palasa,IN,18.7667,84.4167,88.68,69,66,12.41,broken clouds
282,Jiaojiang,CN,28.6803,121.4428,54.14,87,100,7.92,overcast clouds
283,Taitung,TW,22.7583,121.1444,75.47,94,75,2.3,broken clouds
284,Mugumu,TZ,-1.85,34.7,59.27,89,94,4.76,overcast clouds
285,Las Vegas,US,36.175,-115.1372,92.08,5,0,0.0,clear sky
286,Barinas,VE,8.6226,-70.2075,77.74,74,100,4.14,overcast clouds
