City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Lazaro Cardenas,MX,2022-05-13 21:53:08,17.9583,-102.2,87.55,56,100,13.78
257,Straja,RO,2022-05-13 21:53:08,47.9167,25.55,59.18,95,62,4.43
258,Manzil Salim,TN,2022-05-13 21:53:09,35.8567,8.4765,65.8,42,1,2.46
259,Kharabali,RU,2022-05-13 21:53:09,47.4196,47.2568,61.41,68,98,13.38
260,Broken Hill,AU,2022-05-13 21:53:10,-31.95,141.4333,58.73,71,83,10.49
261,Batsfjord,NO,2022-05-13 21:53:10,70.6345,29.7185,35.53,86,100,13.8
262,Hornepayne,CA,2022-05-13 21:53:11,49.2138,-84.7705,80.85,49,11,10.83
263,Meulaboh,ID,2022-05-13 21:50:20,4.1363,96.1285,77.47,89,68,2.66
264,Knysna,ZA,2022-05-13 21:53:11,-34.0363,23.0471,56.86,82,84,5.91
265,Kez,RU,2022-05-13 21:53:12,57.8979,53.7152,44.08,77,100,5.37
266,Swan River,CA,2022-05-13 21:53:12,52.1058,-101.2676,42.69,100,100,25.32
267,Bandundu,CD,2022-05-13 21:53:13,-3.3167,17.3667,75.6,85,95,3.69
268,Vuktyl,RU,2022-05-13 21:53:13,63.8567,57.3094,49.95,71,66,6.6
269,Samarai,PG,2022-05-13 21:53:14,-10.6167,150.6667,82.24,79,46,5.46
270,Khakhea,BW,2022-05-13 21:53:14,-24.6895,23.494,64.06,30,8,7.47
271,Severo-Yeniseyskiy,RU,2022-05-13 21:53:15,60.3725,93.0408,35.71,92,11,3.67
272,Puerto Montt,CL,2022-05-13 21:53:15,-41.4698,-72.9447,49.03,100,100,4.61
273,Alanya,TR,2022-05-13 21:53:16,36.5438,31.9998,67.77,64,25,2.77
274,Poronaysk,RU,2022-05-13 21:53:16,49.2167,143.1167,41.27,93,100,7.7
275,Lysva,RU,2022-05-13 21:53:17,58.1086,57.8053,39.72,96,57,4.18
276,Port Hueneme,US,2022-05-13 21:53:17,34.1478,-119.1951,94.33,16,0,11.5
277,Farafangana,MG,2022-05-13 21:53:18,-22.8167,47.8333,70.61,77,92,0.74
278,Anderson,US,2022-05-13 21:50:47,34.5334,-82.6499,79.18,75,40,14.97
279,Huilong,CN,2022-05-13 21:54:19,31.8111,121.655,55.92,75,3,6.76
280,Crotone,IT,2022-05-13 21:54:19,39.0851,17.1178,64.18,69,13,5.55
281,High Level,CA,2022-05-13 21:54:20,58.5169,-117.136,66.31,34,75,8.05
282,Udalguri,IN,2022-05-13 21:54:22,26.7667,92.1333,72.7,95,75,4.21
283,Praia Da Vitoria,PT,2022-05-13 21:54:23,38.7333,-27.0667,58.75,100,40,4.45
284,Kununurra,AU,2022-05-13 21:54:24,-15.7667,128.7333,67.98,94,15,0.0
285,Sakakah,SA,2022-05-13 21:54:25,29.9697,40.2064,78.37,19,0,8.37
286,Te Anau,NZ,2022-05-13 21:54:26,-45.4167,167.7167,53.82,92,100,1.32
287,Privas,FR,2022-05-13 21:54:26,44.5833,4.5,65.23,92,42,4.21
288,Zainsk,RU,2022-05-13 21:54:27,55.3195,52.0694,47.39,96,98,7.92
289,Salinopolis,BR,2022-05-13 21:54:28,-0.6136,-47.3561,79.93,84,60,9.26
290,Chiojdeni,RO,2022-05-13 21:54:29,45.55,26.8667,58.64,84,75,5.59
291,Shingu,JP,2022-05-13 21:54:30,33.7333,135.9833,68.81,97,100,6.44
292,College,US,2022-05-13 21:54:31,64.8569,-147.8028,46.99,71,75,5.75
